['12:03:16.072', '[-3. -4.]']
['12:03:16.102', '[-3. -4.]']
['12:03:16.128', '[-3. -4.]']
['12:03:16.154', '[-3. -4.]']
['12:03:16.183', '[-3. -4.]']
['12:03:16.213', '[-3. -4.]']
['12:03:16.241', '[-3. -4.]']
['12:03:16.269', '[-3. -4.]']
['12:03:16.294', '[-3. -4.]']
['12:03:16.314', '[-3. -4.]']
['12:03:16.337', '[-3. -4.]']
['12:03:16.365', '[-3. -4.]']
['12:03:16.389', '[-3. -4.]']
['12:03:16.411', '[-3. -4.]']
['12:03:16.441', '[-3. -4.]']
['12:03:16.461', '[-3. -4.]']
['12:03:16.488', '[-3. -4.]']
['12:03:16.503', '[-3. -4.]']
['12:03:16.516', '[-3. -4.]']
['12:03:16.533', '[-3. -4.]']
['12:03:16.571', '[-3. -4.]']
['12:03:16.581', '[-3. -4.]']
['12:03:16.597', '[-3. -4.]']
['12:03:16.609', '[-3. -4.]']
['12:03:16.623', '[-3. -4.]']
['12:03:16.634', '[-3. -4.]']
['12:03:16.644', '[-3. -4.]']
['12:03:16.660', '[-3. -4.]']
['12:03:16.671', '[-3. -4.]']
['12:03:16.683', '[-3. -4.]']
['12:03:16.701', '[-3. -4.]']
['12:03:16.721', '[-3. -4.]']
['12:03:16.764', '[-3. -4.]']
['12:03:16.793', '[-3. -4.]']
['12:03:16.809', '[-3. -4.]']
['12:03:16.836', '[-3. -4.]']
['12:03:16.850', '[-3. -4.]']
['12:03:16.864', '[-3. -4.]']
['12:03:16.874', '[-3. -4.]']
['12:03:16.891', '[-3. -4.]']
['12:03:16.905', '[-3. -4.]']
['12:03:16.921', '[-3. -4.]']
['12:03:16.936', '[-3. -4.]']
